,desc,fasilitas_total,kamar,km,lantai,lb,lokasi,lt,price,sertifikat,tipe
10,"['rumah ideal dan nyaman seperti komplek, lantai granito, PLN 3500W, PAM dan Air Tanah, AC, Car Port, Atap Baja Ringan, hadap utara, Jalan 2 mobil, 300 meter dari sekolah Strada, -+ 1,5 km dekat RSUD Cengkareng, Mall Taman Palem, Green Sedayu Mall, dekat Pasar Bersih, Pasar Cengkareng, dekat Polsek Cengkareng, dekat Bimbel cocok untuk anak sekolah, Dekat pintu masuk dan keluar tol. BEBAS BANJIR.']","['AC', 'Carport', 'Garasi', 'PAM']",2,1,1,70,Cengkareng,100,1.275.000.000,SHM - Sertifikat Hak Milik,Rumah
11,"['Dijual rumah mewah  2 lantai fully furnished', 'Jalan Tebet Utara Jakarta selatan', None, 'Luas tanah 270 m2', 'Luas bangunan 450m2', '5 Kamar tidur', '2 Kamar Pembantu, ', '5 Kamar mandi', 'garase bisa muat 2 mobil plus carpot utk 2 mobil', 'Jalan depan pruis 2 mobil', None, 'Harga 11M nego']","['AC', 'Carport', 'Garasi', 'Garden']",7,5,2,450,Tebet,270,11.000.000.000,SHM - Sertifikat Hak Milik,Rumah
12,['Untuk luas tanah yg diatas 60m2 ada hadiah gratis angsuran selama 1th'],"['Carport', 'Garden']",2,1,1,28,Palmerah,60,160.000.000,HGB - Hak Guna Bangun,Rumah
13,"['Spesifikasi :', '* Luas Tanah 182 m2', '* Luas Bangunan 51 m2', '* Kamar Tidur 4', '* Kamar Mandi 2', '* 1 Lantai', '* Listrik 1300 watt', '* Air JetPam', '* SHM dan IMB', '* Keamanan 24jam', '* Kondisi Bangunan Bagus dan Siap Huni', '* Lingkungan aman dan nyaman', None, 'Akses Dekat :', '* Sekolahan', '* Rumah Sakit', '* Tempat Ibadah', '* Pasar', '* Pusat Keramaian', '* Pusat Kuliner', '* Tol , dll', None, '-FAJ-']",['Garasi'],4,2,1,51,Tebet,182,5.600.000.000,SHM - Sertifikat Hak Milik,Rumah
14,"['*ADIPATI RESIDENCE SUDIMARA @BINTARO*', None, 'CLUSTER Satu-satunya berkonsep TOD di Tangsel dekat Jaksel', None, 'PROMO KHUSUS MINGGU INI SEBELUM HARGA NAIK!', None, '- FREE BIAYA SURAT2 AJB,BPHTB,BBN,PPN,SHM', '- FREE AC 1 UNIT', '- FREE DESIGN LAYOUT SESUAI SELERA', '- JAMINAN SEWA 20-25 JUTA/TAHUN', '*SKB* ', None, 'PAYMENT ONLY : ', None, '- HARD CASH 689 Juta Nego di tempat sampai jadi', '- INSTALMENT 6x', '- KTA KHUSUS PNS/BUMN/TNI/POLRI BUNGA RENDAH DAN FLAT BER-PAYROLL', None, 'didukung Lokasi Yg Strategis:', None, '- 1 menit ke St.Sudimara', '- 5 menit ke Universitas Pembangunan Jaya', '- 8 menit ke Tol Pd.Aren', '- 10 menit ke Mall BXC', '- 12 menit ke RS International Bintaro', None, '- 2 LANTAI 3KT 2KM', '- One Gate Syestem', '- Carport 2 Mobil  ', '- Keamanan 24 jam + CCTV', '- Harga Perdana jelas kami jamin paling termurah', None, 'EKI (NEGO DIRECT OWNER)']","['AC', 'Carport', 'Garden']",3,2,2,48,Cilandak,60,600.000.008,SHM - Sertifikat Hak Milik,Rumah
15,"['Jual rumah hoek di Sunter Pratama\r', 'Uk. 249m, 1 lantai\r', '3 kmr tidur, 2 kmr mandi\r', 'Sertifikat Hak Milik, hadap Timur-Selatan\r', 'Harga 3,5 M\r', 'Contact no sms, tolong telp saja kalau serius ya, thanks)']",,3,2,1,100,Tanjung Priok,249,3.500.000.000,SHM - Sertifikat Hak Milik,Rumah
16,"['Dijual Rumah di Jln Pinang Barat 1 , Pondok Labu Cilandak Jakarta Selatan', None, 'Selling Point :', None, '- One Gate System', '- Lokasi Aman, Tenang dan Bebas Banjir', '- Posisi Rumah Di Pojok', None, 'Bangunan 2,5 Lantai', None, 'Luas Tanah 150 m2', 'Luas Bangunan 250 m2', None, 'Kamar Tidur 4', 'Kamar Mandi 4', None, 'Carport 3 Mobil', None, '- Semua Kamar Ada Kamar Mandi Dalam', '- Ruang Tamu, Ruang Keluarga, Gudang, Ruang Cuci ', '- Mushola', '- Dapur', '- SHM, IMB, PBB', None, 'Harga 3,3 M Nego', None, 'Utk info hub :', 'Agus Supriyanto', 'Tlp/WA']",['Carport'],4,4,3,250,Cilandak,150,3.300.000.000,SHM - Sertifikat Hak Milik,Rumah
17,"['RUMAH SIAP HUNI LOKASI STRATEGIS DEKAT DENGAN AKSES TOL LT 112 meter NEGO', None, None, 'DI JUAL RUMAH DI DALAM CLUSTER PERUMAHAN\xa0 2LT SIAP HUNI\xa0', None, 'Suasana nyaman dan asri bebas banjir\xa0 lingkungan aman one gate system dekat dengan akses tol , dekat dengan akses sekolah , dekat dengan fasum\xa0', None, 'Spesifikasi', None, 'Luas Tanah : 112 m', None, 'Luas Bangunan : +-160 m', None, 'Kamar tidur : 3+1', None, 'Kamar mandi : 3+1', None, 'SHM', None, 'Harga : 1.350 M / nego', None, 'Lokasi : Raffles Hills Cibubur']","['Carport', 'Garasi', 'Garden']",4,4,2,160,Koja,112,1.350.000.000,SHM - Sertifikat Hak Milik,Rumah
18,"['IP2234: Dijual Rumah Lama Pinggir Jalan Ramai Strategis Area Jelambar', None, 'Lt 210 m2 (10×21), Lb 150 m2, 1 lantai.', 'Kt 2, Km 2, SHM, hadap Selatan, ruas jalan 2 mobil ramai.', 'Harga 4.3M Nego. Cash Only', None, 'Peminat Serius Hub:', 'Integrity Property', 'Ridwan']","['Carport', 'PAM']",2,2,1,150,Grogol Petamburan,210,4.300.000.000,SHM - Sertifikat Hak Milik,Rumah
19,,,,,,,,,,,
20,"['Mau punya rumah dengan pembayaran cicil pribadi, tanpa bunga, tanpa BI ceking, tanpa sita cuma disini adanya.', None, '  Cash keras', '    Cicil pribadi', '      Cash bertahap', None, 'Lokasi bebas banjir', 'Akses jalan masuk mobil', 'Surat sertifikat hak milik ( SHM )', None, 'Luas tanah : 60m', 'Luas bangunan : 36m', 'Kamar tidur : 2', 'Kamar mandi : 1', 'Ruang tamu', 'Dapur', 'Teras', 'Taman', 'Carport', '-', 'Pondasi batu kali + cakar ayam', 'Lantai granit', 'Dinding hebel dobel dinding', 'Closed duduk', 'Atap genteng', 'Listrik token 1300', 'Air sumur bor pantek jetpump', 'Pintu panel', 'Kusen almunium', 'Plafond gypsum', None, '-', 'Tersedia type yg lebih besar .', 'Tersedia rumah 2 lantai .', None, '-', 'Lokasi disawangan kota Depok', '5 menit ke gerbang tol sawangan', 'Dekat mall DTC , mall Cinere , kubah mas', 'Dekat sekolahan swasta-negri', 'Dekat kampus ternama', 'Dekat Alfamidi , ATM , indomart , dll', 'Dekat wisata air putri duyung', 'Dekat puskesmas , apotik , bidan , dll', '10 menit ke stasiun , terminal Depok , ITC Depok , plaza Depok , Margo city , dll .', None, '-', 'Survey lokasi ', 'Hubungi nomor yg ada di iklan', '    Tlpn / wa.', None, '""']","['AC', 'Carport', 'Garasi', 'Telephone']",2,1,1,36,Duren Sawit,60,135.000.000,SHM - Sertifikat Hak Milik,Rumah
21,"['Dijual', 'Terdapat 8 unit, Tersewa 100%, dengan fasilitas fitness dan swimming pool.', None, 'Lokasi strategis, nyaman elite. Dekat pusat bisnis SCBD Sudirman, senayan, kemang, rasuna said kuningan gatot subroto.', None, 'Spesifikasi:', '- Luas Tanah: 852 m', '- Luas Bangunan: 1.422 m', '- 2 Lantai + basement.', '- Jumlah Unit Hostel / Apartment: 8', '- Occufancy: Full 100% Tersewa', '- Legalitas: SHM + IMB', '- Swimming Pool', '- Carport: +/- 10', None, 'Harga: Rp 54 Milyar Nego']","['AC', 'Swimming Pool', 'Carport', 'Garden', 'Garasi', 'Telephone', 'PAM', 'Water heater', 'Refrigerator', 'Stove', 'Gordyn', 'Fire Extenguisher']",>10,>10,2,1422,Kebayoran Baru,852,54.000.000.000,SHM - Sertifikat Hak Milik,Rumah
22,"['Jual rumah di Rawamangun', 'uk. 152m, 2,5 lantai', '5 kmr tidur, 3 kmr mandi', 'Sertifikat Hak Milik', 'Harga 2,5 M', 'No sms, tolong telp saja kalau serius ya, tq']",,5,3,2,300,Pulo Gadung,152,2.500.000.000,SHM - Sertifikat Hak Milik,Rumah
23,"['Cari rumah lokasi strategis dan harga murah? Dimana lagi kalo bukan disini!', None, 'ADIPATI RESORT CIPUTAT', None, 'HUNIAN MEWAH 2 LANTAI', 'ANTI BANJIR 1000%', None, 'UNIK DAN BANYAK PENAWARAN MENARIK!', None, 'HARGA IRIT BISA NEGO', 'BISA CUSTOM LAYOUT SUKA-SUKA!', None, 'FREE SHM SENILAI 50JTAN!!!', None, 'Lokasi Super Strategis :', '-2 Menit ke RS. SARI ASIH Ciputat', '-5 Menit ke Sekolah Insan Cendikia', '-5 Menit ke BUSWAY Ciputat dan Pintu TOLL Cinere-Depok', '-10 Menit Ke Kampus UNPAM / UIN Ciputat', '-10 Menit ke Stasiun Sudimara', '-15 Menit ke Mall BXC Bintaro', '-15 Menit ke MRT Lebak Bulus', None, 'SURVEY YUK! MAKIN CEPAT BELI MAKIN UNTUNG!']","['AC', 'Carport', 'Garden', 'Garasi']",3,2,2,50,Pesanggrahan,67,700.000.000,SHM - Sertifikat Hak Milik,Rumah
24,"['TERBARU!!!', None, 'CLUSTER TERMURAH DAN TERMEWAH ', 'Adipati Residence Sudimara @Bintaro', None, 'PROMO KHUSUS MINGGU INI SEBELUM HARGA NAIK!', None, '- DISKON HARGA PULUHAN JUTA', '- FREE BIAYA SURAT2 AJB,BPHTB,BBN,PPN,SHM', '- FREE WATER HEATER', None, 'Harga Rp. 689 juta MASIH BISA NEGO KERAS. ', None, 'LOKASI PENUNJANG AREA SITE  :', '- 1 menit ke St.Sudimara', '- 5 menit ke Universitas Pembangunan Jaya', '- 8 menit ke Tol Pd.Aren', '- 10 menit ke Mall BXC', '- 12 menit ke RS International Bintaro', '- 2 LANTAI 3KT 2KM', '- One Gate Syestem', '- Carport 2 Mobil', '- Keamanan 24 jam + CCTV', '- Lokasi pinggir Aspal', None, 'LANGSUNG CLBK = CASH LANGSUNG BOOKING KESINI >>>SEGERA SURVEI LOKASI DAN BOOKING UNITNYA SEKARANG JUGA!!!', None, 'Hub Segera : Adha - Marketing Executive']","['AC', 'Carport', 'Garden']",3,2,2,48,Cilandak,60,600.000.000,SHM - Sertifikat Hak Milik,Rumah
25,"['DIJUAL RUMAH [HUB: DHYANA (FAST RESPONSE VIA WA ^_^)] FREE KONSULTASI KPR (BCA, PANIN, UOB, CIMB, BNI, Danamon, Permata, dll', None, 'Rumah Baru lokasi jelambar', 'uk 4x21m (84m2)', 'lb 220m2', 'surat SHM', '1 kt ; 3 km', 'garasi', 'harga 2,35 M', None, 'HARGA NEGO', None, 'KPR BISA DIBANTU', None, 'INFO DAN SURVEY HUB: DHYANA', None, 'FAST RESPONSE VIA WA', None, '[HUB: DHYANA] Segera hubungi kami untuk berkonsultasi dan mendapatkan SEMUA informasi seputar properti pada area ini ( HOT listing, harga pasaran, harga BU, dan lokasi terbaik ) - Your best property service agency in Indonesia. -DHY-']",,1,3,,220,Grogol Petamburan,84,2.350.000.000,SHM - Sertifikat Hak Milik,Rumah
26,"['Deskripsi', None, 'Dijual murah rumah dalam komplek di Lebak Bulus Jakarta Selatan', None, 'Detailnya:', ' Luas tanah 340 m²', 'Luas bangunan 275 m²', 'Sertifikat : SHM', '*Harga : 4.8 M*', None, '4 km tidur (2 atas, 2 bawah) ', '3 km mandi (1 bawah, 2 atas)', '1 ruang tamu', '1 ruang keluarga', 'ruang makan,  dapur ', None, 'Garasi 2 mbl', 'Carport 2 mbl', '2 gudang', '1 km tidur pembantu & 1 mandi pembantu', '1 teras + taman depan, 1 teras + taman belakang ', 'Listrik 4.400watt', 'AC', None, 'AM']","['AC', 'Carport', 'Garasi', 'Garden']",5,4,2,275,Pancoran,340,4.800.000.000,SHM - Sertifikat Hak Milik,Rumah
27,"['Dijual rumah second terawat dan bersih semi furnish di kawasan Cipete Kebayoran Baru dekat ke Jl. Fatmawati dan Jl. Pangeran Antasari Jakarta Selatan. Harga termurah dilokasi sekitar. ', None, 'Harga Rp. 8.5M nego', None, 'Spesifikasi :', '- Tanah 385 M2', '- Bangunan +/- 400M2', '- Kamar bawah 1+1', '- Kamar atas 2+2                   ', '- disalah satu kamar atas ada ruang kerja', '- Kamar pembantu 1+1', '- Dapur bersih dan dapur kotor', '- AC setiap kamar', '- Garasi 1 mobil', '- Sertifikat SHM dan IMB ', '- Carport 2 mobil ', '- Bangunan Tahun 2010', '- Listrik 6000watt', None, '- Selling point:', 'Posisi rumah hook', 'Dekat pasar tradisional cipete', 'Dekat pusat perkantoran', 'Dekat jln Darmawangsa dan Antasari', 'Dekat dengan SD Negeri 15 Cipete', 'Dekat dgn Dharmawangsa Essence Apartment', None, 'Hubungi :', 'Jimmy Ong C', 'VRD007', 'Meeting point : RS Brawijaya Cipete', None, 'Hanya melayani Pembeli Langsung tidak terima Calo/Agent', 'Bisa titip JUAL / SEWA']","['AC', 'Carport', 'Garasi', 'Garden']",3,3,2,400,Kebayoran Baru,385,8.500.000.000,SHM - Sertifikat Hak Milik,Rumah
28,"['SIAPA YANG CEPAT !!', None, 'TINGGAL DUA UNIT', None, 'Rumah baru di jagakarsa ', None, '# Detail Properti : ', None, 'Kondisi: Baru (indent 6 bulan)', None, 'Kategori: Rumah Tinggal', None, 'Pembayaran : Cash dan Kpr Bank Syariah Indonesia', None, 'Hadap : utara', None, 'Tahun Konstruksi : 2021', None, 'IMB : Ya', None, 'Sertifikat : SHM - Sertifikat Hak Milik', None, 'Kamar Tidur : 3', None, 'Jumlah Lantai : 2', None, 'Luas Tanah (m²) : 63 ', None, 'Kamar Mandi : 3', None, 'Karpot : 1 mobil', None, 'Luas Bangunan (m²) : 90 ', None, 'Fasilitas Tambahan : Kamar Utama, Closet, Taman, Teras.', None, 'Fasilitas Utama : Carport, Hewan diperbolehkan, Air tanah', None, 'Fitur Keamanan : Pagar tertutup', None, '# Area Sekitar : ', 'Pintu tol Desari (brigif) hanya 5 menit , ', None, '#Masjid', '50 meter ', None, '#Transportasi Umum ', 'Angkutan umum M 20 ciganjur - pasar minggu', 'Stasiun lenteng agung 10 menit', 'Stasiun universitas pancasil 10 menit', None, '#Pemadam kebakaran', None, 'Rumah sakit : Zahirah depok, Rsia Aulia', None, 'Apotik', None, 'Sekolah', None, 'Kantor Polisi Polsek jagakarsa', None, '# Spesifikasi', None, 'Pondasi : Batu kali', None, 'Dinding : Hebel', None, 'Atap : Konstruksi baja ringan', None, 'Sanitari : American Standart', None, 'Genteng : Beton (Cisangkan)', None, 'Daun Pintu : Panel Solid', None, 'Kusen : Alumunium alexindo / Setara', None, 'Cat : Dulux catylac', None, 'Listrik : 2200 watt', None, 'Pemipaan : Wafin & Rucika', None, 'Air : Sumur tanah & Jetpump']","['Carport', 'Telephone']",3,3,2,90,Kebayoran Baru,63,1.150.000.000,SHM - Sertifikat Hak Milik,Rumah
29,"['Deskripsi', None, 'Jual cepat rumah di Pejaten. Rumah perlu direnovasi sedikit dijual murah. Sekitar 2 tahun tidak ditempati. Bangunan masih kokoh,biasa disewa expatriat', 'Lokasi sangat bagus jalnan 6 m  seperti dapam komplek. Akses dekat dengan Kemang Timur,Mega Kuningan,Kebayoran Baru.', None, 'Spesifikasi :', 'Luas tanah 968 m²', 'Luas bangunan 600 m²', 'Bangunan 2 lantai', 'Kamar tidur 4+2', 'Kamar mandi 4+1', 'Ruang kerja', None, 'Harga 16,5 M Nego', None, 'AM']","['Carport', 'Garasi', 'Garden', 'Gordyn', 'Swimming Pool']",6,5,2,600,Pancoran,968,16.500.000.000,SHM - Sertifikat Hak Milik,Rumah
30,"['Jual Rumah ', 'Di Rawamangun, Jakarta Timur', None, 'Bangunan 2 Lantai', 'LT. 216 m²', 'LB. 365 m²', 'KT. 6', 'KM.4', 'Air : PAM + JetPump', 'Garasi 2 mobil', 'Akses depan gang 1 mobil', 'HGB, bisa di upgrade SHM ', None, '* 15meter ke Jalan raya ', '* 50meter ke jalan raya Balai pustaka, rawamangun', None, 'Harga 3.5 M (nego)']","['Garasi', 'Garden']",6,4,2,365,Pulo Gadung,216,3.500.000.000,HGB - Hak Guna Bangun,Rumah
31,"['Dijual cepat Rumah jalan Haji Nawi Fatmawati selangkah ke Mall Pondok Indah jakarta selatan,masuk mobil jalan bisa papasan 2 mobil dan sangat2 strategis sekali.', 'Luas tanah 249mtr', 'Luas bangunan -+160mtr', '1 lantai', 'Bangunan berbentuk 2 rumah dengan spesifikasi *masing masing Rumah* sbb :', 'Luas Tanah : @ +- 125 M2', 'Luas Bangunan : @ +- 75 M2', 'Jml Kmr Tidur : @ 3 KT', 'Jml Kmr Mandi : @ 2 KM', 'Carport 4 mobil', 'Listrik @ 2200 Watt', 'SHM 1 Sertifikat', 'Lokasi tenang dan aman, dekat dengan PIM , ITC & Station MRT H.Nawi (cuma 3 menit).', 'Harga : Rp 3,7 Milyar nego', 'Peminat serius chat via wa']",['Carport'],3,2,1,75,Cilandak,249,3.700.000.000,SHM - Sertifikat Hak Milik,Rumah
32,"['Satu2nya Township di Sawangan seluas 102ha dgn Danau alami seluas 26ha dgn kesempurnaan alam yg ada.', None, 'Akses yg mudah dijangkau dgn infrastruktur yg lengkap, hny 20 menit dr Jakarta :', None, '1. Toll Jorr 2 ( Pintu Toll Pamulang )', None, '2. Toll Desari, Depok Antasari ( Pintu Toll Sawangan )', None, '3. 30menit dr Lebak Bulus & Pondok Labu', None, '4. 15 menit ke Mesjid Kubah Mas', None, '5. 10 menit ke Mall The Park Sawangan', None, 'The Terrace Standart', None, 'L : 8 meter', None, 'P : 11 meter', None, '2 Lantai', None, '2 Kamar Tidur', None, '2 Kamar Mandi', None, '2 Carport', None, 'Harga Mulai 1,2M', None, 'The Terrace Luxe', None, 'L : 8', None, 'P : 11', None, '2 Lantai', None, '3 Kamar Tidur', None, '3 Kamar Mandi', None, '2 Carport', None, 'Harga Mulai 1,4M', None, 'The Courtyard Standart', None, 'Lt : 112', None, 'Lb : 109', None, 'P : 16', None, 'L : 7', None, '2 Lantai', None, '3 Kamar Tidur', None, '4 Kamar Mandi', None, '2 Carport', None, 'Harga Mulai 1.8M', None, 'The Courtyard Luxe', None, 'Lt : 112', None, 'Lb : 112', None, 'P : 16', None, 'L : 7', None, '2 Lantai', None, '4 Kamar Tidur', None, '4 Kamar Mandi', None, '2 Carport', None, 'Harga Mulai 2M', None, 'Harga perdana segera booking NUPnya sebesar 10jt sdh bs pilih unit, NUP sdh mengurangi booking fee & booking fee sdh mengurangi DP. Nikmati disc 3% dgn membeli NUP priority 10jt.', None, 'Pembayaran :', None, 'Cash keras', None, 'Cash bertahap 24x', None, 'KPR', None, 'Free konsultasi 24 jam', None, 'My']","['AC', 'Carport', 'Garasi', 'Garden', 'PAM', 'Swimming Pool', 'Telephone']",3,2,2,79,Cilandak,81,1.200.000.000,SHM - Sertifikat Hak Milik,Rumah
33,"['Dijual cepat rumah di daerah Jakarta Barat, perbatasan dengan Jakarta Selatan.', None, 'Dekat Kantor media cetak Jawa Pos', None, 'Tepat di pinggir Jalan Raya.', None, 'Luas Tanah 225 m2', None, 'luas Bangunan 200 m2', None, 'Cocok untuk Cafe, Kost, tempat usaha atau tempat tinggal', None, 'Akses :', None, '1 Km (3 menit) ke Permata Hijau,', None, '2.2 Km (6 menit) ke Kampus Bina Nusantara (Binus) Kemanggisan', None, '3.6 Km (8 menit) ke Pintu tol Joglo 2 (lingkar luar)', None, '3.8 Km (10 Menit) ke Mall Senayan City', None, '5 Km (12 menit) ke Mall Gandaria City', None, '5.2 Km (15 menit) ke Gelora Bung Karno', None, '7.9 Km (19 menit) ke Pondok Indah Mall', None, '25-28 Km (30 Menit) ke Bandar udara Soekarno Hatta', None, 'HARGA : Rp 6 M (NEGO)', None, 'Ingin Lihat Lokasi', None, 'Janjian Terlebih Dahulu']","['Carport', 'Garasi', 'AC', 'Refrigerator', 'Oven', 'Gordyn']",5,2,2,220,Kebon Jeruk,225,6.000.000.000,SHM - Sertifikat Hak Milik,Rumah
34,"['Cinere Hills Rivera', 'Jl. Bandung, Cinere  - Pondok Cabe. Pondok Cabe Ilir, Kec. Pamulang', 'Kota Tangerang Selatan, Banten', None, '• Type 2lantai LT/LB 96/100 (8×12)', 'Harga Mulai Rp. 1.313.000.000,-', None, '• Type 2lantai LT/LB 84/90 (7×12)', 'Harga Mulai Rp. 1.159.000.000,-', None, 'KPR Dp 20% cicil 3×', None, 'Selling poin :', '- 500meter  dari Lapangan Terbang Pondok Cabe', '- 500 meter ke Jalan Cinere Raya', '- 1 km Toll Desari (Exit Brigif)', '- 5menit dari rumah sakit cinere', '- 5menit dari mall cinere', '- system one gate system', '- Dekat Kantor Kecamatan cinere', '- Dekat Polsek Cinere', 'Dekat SPBU', '- Dekat Universitas Terbuka Pondok Cabe', None, 'Hubungi Marketing Kami :', 'Mas Dayat', None, None, '#rumahmillenial #rumahcinere #rumahjakartaselatan #cinere #investasiproperty #investasiproperti #investasi #perumahan']","['Carport', 'Garden', 'PAM']",3,2,2,100,Pancoran,96,1.313.000.000,SHM - Sertifikat Hak Milik,Rumah
